,File Name,Event Date,Activation Date,Satellite Date,Country
0,EMSR264_01AMBILOPE_DEL_v2,1/5/2018,1/6/2018,10/1/2018,Madagascar
1,EMSR264_02AMBANJA_DEL_v2,1/5/2018,1/6/2018,10/1/2018,Madagascar
2,EMSR264_05MAROVOAY_DEL_v2,1/5/2018,1/6/2018,11/1/2018,Madagascar
3,EMSR264_06MAHAMBO_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
4,EMSR264_07AMBATOBE_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
5,EMSR264_08VATOMANDRY_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
6,EMSR264_09MAHANORO_DEL_v1,1/5/2018,1/6/2018,7/1/2018,Madagascar
7,EMSR264_10MASOMELOKA_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
8,EMSR264_11NOSYVARIKA_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
9,EMSR264_12FARAFANGANA_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
10,EMSR264_13IHOROMBE_DEL_v2,1/5/2018,1/6/2018,7/1/2017,Madagascar
11,EMSR264_14VANGAINDRANO_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
12,EMSR264_15ANTANANARIVO_DEL_v2,1/5/2018,1/6/2018,9/1/2018,Madagascar
13,EMSR264_16MIANDRIVAZO_DEL_v2,1/5/2018,1/6/2018,11/1/2018,Madagascar
14,EMSR264_17BELONITSIRIBIHINA_DEL_v2,1/5/2018,1/6/2018,11/1/2018,Madagascar
15,EMSR264_18MIANDRIVAZODETAIL_DEL_v2,1/5/2018,1/6/2018,12/1/2018,Madagascar
16,EMSR269_02FAHEFA_GRA_v1,2/12/2018,2/12/2018,13/02/2018,Tonga
17,EMSR269_06VEITONGO_GRA_MONIT01_v1,2/12/2018,2/12/2018,13/02/2018,Tonga
18,EMSR269_06VEITONGO_GRA_v2,2/12/2018,2/12/2018,15/02/2018,Tonga
19,EMSR274_01AMBILOBE_DEL_v2,3/16/2018,3/16/2018,18/03/2018,Madagascar
